title,doi,wingspan_m,weight_g,tandem,ai,type,DataMissed,wingspan_filled,weight_filled,wingspan,weight,0=机构结构，1=动力学，2=气动，3=控制，4=系统/任务集成,
Design of Flexible Fins and Drive Mechanism of Bionic Butterfly Flapping Wing Flyer,10.1145/3727648.3727696,0.222,14.16,0,0,0,2,0.298,14.16,-1,14.16,,
An insect-scale bioinspired flapping-wing-mechanism for micro aerial vehicle development,10.1007/978-3-319-63537-8_54,0.23,15.5,0,0,0,2,0.312,15.5,-1,15.5,,
Design and demonstration of a bio-inspired flapping-wing-assisted jumping robot,10.1088/1748-3190/aafff5,0.269,23,0,0,0,2,0.339,23,-1,23,,
Repeatable energy-efficient perching for flapping-wing robots using soft-grippers,10.1088/1748-3190/ae18a8,0.33,39,0,0,0,2,0.408,39,-1,39,,
Design and Testing of a Bioinspired Lightweight Perching Mechanism for Flapping-Wing MAVs Using Soft Grippers,10.1109/LRA.2022.3184447,0.349,45,0,0,0,2,0.426,45,-1,45,,
Four-bar linkage mechanism for insectlike flapping wings in hover: Concept and an outline of its realization,10.1115/1.1829091,0.426,75,0,0,0,2,0.459,75,-1,75,,
"Controlled Flight of a Biologically Inspired, Insect-Scale Robot",10.1126/science.1231806,0.03,0.08,0,0,0,0,0.03,0.08,0.03,0.08,1,
Insect-inspired micro air vehicle with nanocomposite flapping wings and flexure joints,10.1117/12.2557471,0.09014,0.61,0,0,0,0,0.09014,0.61,0.09014,0.61,0,
Investigation of Sub-palm-scale Double Piezoelectric Driving Flapping Wing Micro-aircraft Based on Smart Composite Microstructures,10.11977/j.issn.1004-2474.2020.03.010,0.061,0.244,1,0,0,0,0.061,0.244,0.061,0.244,0,
"Design of a bio-inspired, two-winged, flapping-wing micro air vehicle with high-lift performance",10.1007/s42235-024-00486-7,0.195,25.2,0,0,0,0,0.195,25.2,0.195,25.2,0,
Enhancing lift and dynamic stability through morphological optimization of wings for tailless flapping-wing robots,10.1109/LRA.2025.3551548,0.33,30.8,0,2,0,0,0.33,30.8,0.33,30.8,0,
An insect-scale flapping-wing micro aerial vehicle inspired by tumblers capable of uncontrolled self-stabilizing flying,10.34133/research.0787,0.068,0.204,0,0,1,0,0.068,0.204,0.068,0.204,0,
"Polymer based flapping-wing robotic insect: Progress in design, fabrication, and characterization",10.1117/12.2044650,0.03,0.022,0,0,2,0,0.03,0.022,0.03,0.022,,
The design and microfabrication of a sub 100 mg insect-scale flapping-wing robot,10.1049/mnl.2016.0687,0.035,0.084,0,0,2,0,0.035,0.084,0.035,0.084,,
Design of flexible hinges in electromagnetically driven artificial flapping-wing insects for improved lift force,10.1088/1361-6439/aaf02d,0.036,0.084,0,0,2,0,0.036,0.084,0.036,0.084,,
Design and aerodynamic analysis of a flapping-wing micro aerial vehicle,10.1016/j.ast.2009.07.007,0.05,8.78,0,0,2,0,0.05,8.78,0.05,8.78,,
Investigation of Sub-palm-scale Double Piezoelectric Driving Flapping Wing Micro-aircraft Based on Smart Composite Microstructures,10.11977/j.issn.1004-2474.2020.03.010,0.061,0.244,0,0,2,0,0.061,0.244,0.061,0.244,,
Computational fluid dynamics studies of a flapping wing nano air vehicle (NAV),10.2514/6.2010-8117,0.075,0.872,0,0,2,0,0.075,-1,0.075,-1,,
Aerodynamics of a bio-inspired flexible flapping-wing micro air vehicle,10.1088/1748-3182/6/4/045002,0.1,2.7,1,0,2,0,0.1,2.7,0.1,2.7,,
Multimodal bioinspired flapping-wing vehicle: Design and aerodynamic optimization for agricultural plant protection in greenhouses,10.1016/j.compag.2025.111261,0.102,35.6,0,0,2,0,0.102,3.252,0.102,35.6,,
Enhancement of a Flapping Wing Using Path and Dynamic Topology Optimization,10.2514/1.J050834,0.11,2.7,1,2,2,0,0.11,2.7,0.11,2.7,,
Prototype design and performance test of an in-phase flapping wing robot,10.1109/ISIE.2013.6563701,0.2,12.8,1,0,2,0,0.2,12.8,0.2,12.8,,
Prototype Design and Performance Test of an Indoor Flapping-Wing Micro Air Vehicle,10.1109/ISIE.2013.6563701,0.24,12.8,1,0,2,0,0.24,12.8,0.24,12.8,,
Design and aerodynamic characteristics analysis of ultra-small bionic butterfly flapping-wing aircraft,10.1088/1742-6596/3080/1/012137,0.28,8.2,0,0,2,0,0.28,8.2,0.28,8.2,,
Development of Large Wingspan Flapping-Wing Flying Robots With Improved Efficiency by Rigid-Flexible Coupling Flapping Mechanism,10.1002/rob.70054,1.8,1000,0,0,2,0,1.8,1000,1.8,1000,,
Modeling and evaluation of power transmission of flapping wing nano air vehicle,10.1109/MESA.2014.6935524,0.03,0.083,0,0,2,1,0.03,0.92,0.03,-1,,
UV laser processing technology of flapping-wing microair vehicles,,0.03,0.083,0,0,2,1,0.03,0.873,0.03,-1,,
Research on aerodynamic performance of a two-stage flapping wing vehicle,10.1117/12.3054759,0.1,1.824,0,0,2,1,0.1,3.325,0.1,-1,,
Bioinspired Flapping-Wing Robot with Direct-Driven Piezoelectric Actuation and Its Takeoff Demonstration,10.1109/LRA.2018.2863104,0.114,2.553,0,0,2,1,0.114,3.634,0.114,-1,,
Effect of wing planform shape on the flow structures of an insect-like flapping wing in hover,,0.15,5.159,0,0,2,1,0.15,4.758,0.15,-1,,
Lift system optimization for hover-capable flapping wing micro air vehicle,10.1007/s11465-024-0790-6,0.175,7.66,0,0,2,1,0.175,5.581,0.175,-1,,
Insights into sensitivity of wing shape and kinematic parameters relative to aerodynamic performance of flapping wing nano air vehicles,10.3390/drones3020049,0.2,10.788,0,0,2,1,0.2,6.499,0.2,-1,,
Sizing and aerodynamic analysis of biplane flapping wing nano air vehicle: Theory and experiment,10.2514/6.2019-2098,0.24,17.217,0,0,2,1,0.24,8.217,0.24,-1,,
Insect-inspired passive wing collision recovery in flapping wing microrobots,10.1088/1748-3190/ada906,0.3,30.511,0,0,2,1,0.3,10.038,0.3,-1,,
Aerodynamic experimental investigation and analysis of the flow and thrust generation of the flexible flat flapping wing robot,10.1109/ICA-SYMP50206.2021.9358247,0.33,38.957,0,0,2,1,0.33,11.833,0.33,-1,,
Development of Large Wingspan Flapping-Wing Flying Robots With Improved Efficiency by Rigid-Flexible Coupling Flapping Mechanism,10.1002/rob.70054,1.8,3017.931,0,0,2,1,1.8,66.66,1.8,-1,,
Electrostatic flapping-wing actuator with improved lift force by the pivot-spar bracket design,10.1016/j.sna.2018.07.054,0.025,0.05,0,0,2,2,0.052,0.05,-1,0.05,,
Lateral moving of an artificial flapping-wing insect driven by low voltage electromagnetic actuator,10.1109/MEMSYS.2017.7863523,0.031,0.09,0,0,2,2,0.062,0.09,-1,0.09,,
Scalability of resonant motor-driven flapping wing propulsion systems,10.1098/rsos.210452,0.071,0.75,0,0,2,2,0.126,0.75,-1,0.75,,
Improved lift force of a resonant-driven flapping-wing micro aerial vehicle by suppressing wing vibration coupling,10.1016/j.eml.2020.100867,0.083,1.12,0,0,2,2,0.14,1.12,-1,1.12,,
Flapping mechanism design and aerodynamic analysis for the flapping wing micro air vehicle,10.4028/www.scientific.net/AMR.291-294.1543,0.108,2.236,0,0,2,2,0.17,2.236,-1,2.236,,
An Electromagnetic Actuator for High-Frequency Flapping-Wing Microair Vehicles,10.1109/TRO.2015.2409451,0.115,2.6,0,0,2,2,0.179,2.6,-1,2.6,,
Analysis and experiment of a bio-inspired flyable micro flapping wing rotor,10.1016/j.ast.2018.06.009,0.115,2.6,0,0,2,2,0.178,2.6,-1,2.6,,
Fabrication of flapping-wing micromechanism assembly using selective laser melting and aerodynamic performance measures,10.1177/14644207211035422,0.136,4,0,0,2,2,0.197,4,-1,4,,
Mechanics of a scalable high frequency flapping wing robotic platform capable of lift-off,10.1109/ICRA.2016.7487666,0.136,4,0,0,2,2,0.206,4,-1,4,,
A Chordwise Bimodal Joint for Aerial-Aquatic Amphibious Flapping-Wing Robots,10.1109/TMECH.2025.3602143,0.148,5,0,0,2,2,0.219,5,-1,5,,
Fluid-tructure interaction analysis of flexible flapping wing in the Martian environment,10.1016/j.actaastro.2022.01.001,0.148,5,0,0,2,2,0.222,5,-1,5,,
Research on Heat Dissipation Performance and Long-term Reliability of the Flapping Wing Cooling Technology Applied to the 5G Communications Equipment,10.1109/THERMINIC52472.2021.9626474,0.148,5,0,0,2,2,0.204,5,-1,5,,
Experimental force and deformation measurements of bioinspired flapping wings in ultra-low martian density environment,10.2514/6.2020-2003,0.159,6,1,0,2,2,0.225,6,-1,6,,
Flapping-wing propulsion for a micro air vehicle,10.2514/6.2001-126,0.159,6,0,0,2,2,0.216,6,-1,6,,
Experimental optimization of wing lift for a hummingbird-like micro flapping-wing robot,10.1109/ICMA54519.2022.9856237,0.225,14.6,0,0,2,2,0.291,14.6,-1,14.6,,
Unsteady stalling characteristics of flapping wing micro aerial vehicle,10.4271/2006-01-2406,0.244,18,0,0,2,2,0.312,18,-1,18,,
Effect of Asymmetric Feathering Angle on the Aerodynamic Performance of a Flyable Bionic Flapping-Wing Rotor,10.3390/app13063884,0.248,18.7,0,0,2,2,0.307,18.7,-1,18.7,,
Design of a Bird-inspired Flapping Wing Robot Based on Spatial Four-bar Mechanism,10.1109/ICUS52573.2021.9641163,0.384,57.5,0,0,2,2,0.459,57.5,-1,57.5,,
Some aeromechanical aspects of insect-like flapping wings in hover,10.1243/0954410042794948,0.426,75,0,0,2,2,0.459,75,-1,75,,
Biomimetic flapping wing aerial vehicle,10.1109/ROBIO.2009.4913146,0.473,98,0,0,2,2,0.51,98,-1,98,,
A review of bird-inspired flapping wing miniature air vehicle designs,10.1115/1.4005525,0.477,100,0,0,2,2,0.531,100,-1,100,,
A review of bird-inspired flapping wing miniature air vehicle designs,10.1115/DETC2010-28513,0.477,100,0,0,2,2,0.531,100,-1,100,,
Design and flight verification of passive wing folding for bionic flapping-wing aerial vehicle based on flexible joints,10.1088/2631-8695/ade8d2,0.562,152.72,0,0,2,2,0.587,152.72,-1,152.72,,
Design of an Origami Based Flapping-Wing Robot,10.1109/ICARM62033.2024.10715981,0.841,429.35,0,0,2,2,0.793,429.35,-1,429.35,,
Artificial evolution of the morphology and kinematics in a flapping-wing mini-UAV,10.1088/1748-3182/2/4/002,1.17,1000,0,0,2,2,1.074,1000,-1,1000,,
Check-valve design in enhancing aerodynamic performance of flapping wings,10.3390/app11083416,0.194,10,0,2,2,2,0.27,10,0.194,10,,
Experimental investigation of wing flexibility on force generation of a hovering flapping wing micro air vehicle with double wing clap-and-fling effects,10.1177/1756829317695565,0.224,14.5,0,2,2,2,0.289,14.5,0.224,14.5,,
Lift system optimization for hover-capable flapping wing micro air vehicle,10.1007/s11465-024-0790-6,0.175,10.5,0,0,2,0,0.175,10.5,0.175,10.5,0,
"Design, takeoff and steering torques modulation of an 80-mg insect-scale flapping-wing robot",10.1049/mnl.2020.0371,0.035,0.08,0,0,3,0,0.035,0.08,0.035,0.08,,
Liftoff of an Electromagnetically Driven Insect-Inspired Flapping-Wing Robot,10.1109/TRO.2016.2593449,0.035,0.08,0,0,3,0,0.035,0.08,0.035,0.08,,
A Sub-100 mg Electromagnetically Driven Insect-inspired Flapping-wing Micro Robot Capable of Liftoff and Control Torques Modulation,10.1007/s42235-020-0103-7,0.035,0.096,0,0,3,0,0.035,0.096,0.035,0.096,,
An Insect-Scale Flapping-Wing Micro Aerial Vehicle Inspired by Tumblers Capable of Uncontrolled Self-Stabilizing Flying,10.34133/research.0787,0.068,0.204,0,0,3,0,0.068,0.204,0.068,0.204,,
Flight control of flapping-wing robot with three paired direct-driven piezoelectric actuators,10.1016/j.ifacol.2020.12.2408,0.115,1.15,0,0,3,0,0.115,1.15,0.115,1.15,,
Design and Flight Performance of a Bio-Inspired Hover-Capable Flapping-Wing Micro Air Vehicle with Tail Wing,10.3390/aerospace10110910,0.165,3.4,0,0,3,0,0.165,3.4,0.165,3.4,,
Development of the nano hummingbird: A tailless flapping Wing Micro Air Vehicle,10.2514/6.2012-588,0.165,10,0,0,3,0,0.165,10,0.165,10,,
"Design, modelling, and experimental validation of a self-rotating flapping wing rotorcraft with motor-spring resonance actuation system",10.1088/1748-3190/acdd3d,0.165,12.4,0,0,3,0,0.165,12.4,0.165,12.4,,
Acting is seeing: Navigating tight space using flapping wings,10.1109/ICRA.2019.8794084,0.17,12,0,0,3,0,0.17,12,0.17,12,,
Development of insect-like flapping wing micro air vehicle based on PD control,10.7527/S1000-6893.2020.23678,0.18,23.8,0,0,3,0,0.18,23.8,0.18,23.8,,
Liftoff of A Motor-Driven Flapping Wing Rotorcraft with Mechanically Decoupled Wings,10.1109/ICRA46639.2022.9812350,0.185,12.4,0,0,3,0,0.185,12.4,0.185,12.4,,
"Design of a Bio-inspired, Two-winged, Flapping-wing Micro Air Vehicle with High-lift Performance",10.1007/s42235-024-00486-7,0.195,25.2,0,0,3,0,0.195,25.2,0.195,25.2,,
Development of an Insect-like Flapping-Wing Micro Air Vehicle with Parallel Control Mechanism,10.3390/app12073509,0.21,28,0,0,3,0,0.21,28,0.21,28,,
Development and flight performance of a biologically-inspired tailless flapping-wing micro air vehicle with wing stroke plane modulation,10.1088/1748-3190/aaefa0,0.22,31,1,0,3,0,0.22,31,0.22,31,,
Development of Flapping Wing Robot and Vision-Based Obstacle Avoidance Strategy (CNUX Mini),10.7717/peerj-cs.1201,0.27,45,1,0,3,0,0.27,45,0.27,45,,
Development of a novel flapping wing micro aerial vehicle with elliptical wingtip trajectory,10.5194/ms-10-355-2019,0.29,23,0,0,3,0,0.29,23,0.29,23,,
Enhancing Lift and Dynamic Stability Through Morphological Optimization of Wings for Tailless Flapping-Wing Robots,10.1109/LRA.2025.3551548,0.33,30.8,0,1,3,0,0.33,30.8,0.33,30.8,,
"A Multi-Modal Tailless Flapping-Wing Robot Capable of Flying, Crawling, Self-Righting and Horizontal Take-Off",10.1109/LRA.2024.3384910,0.33,35.4,1,0,3,0,0.33,35.4,0.33,35.4,,
System design and control of a butterfly-inspired flapping-wing aerial robot based on wire-driven steering,10.7641/CTA.2021.10855,0.5,50,0,0,3,0,0.5,50,0.5,50,,
Bird-mimetic Wing System of Flapping-wing Micro Air Vehicle with Autonomous Flight Control Capability,10.1016/S1672-6529(16)60319-0,0.5,210,0,0,3,0,0.5,210,0.5,210,,
Dove: A biomimetic flapping-wing micro air vehicle,10.1177/1756829317734837,0.5,220,0,2,3,0,0.5,220,0.5,220,,
Ornithopter Type Flapping Wings for Autonomous Micro Air Vehicles,10.3390/aerospace2020235,0.88,161,0,0,3,0,0.88,161,0.88,161,,
A Long-Endurance Flapping-Wing Robot Based on Mass Distribution and Energy Consumption Method,10.1109/TIE.2022.3213905,1.78,985,0,0,3,0,1.78,985,1.78,985,,
Design and Verification of a Large-Scaled Flapping-Wing Aircraft Named ,,1.82,980,0,0,3,0,980,1.82,1.82,980,,
HIT-Hawk and HIT-Phoenix: Two kinds of flapping-wing flying robotic birds with wingspans beyond 2 meters,10.1016/j.birob.2021.100002,2,1150,0,0,3,0,2,1150,2,1150,,
Development of Vision Stabilizing System for a Large-Scale Flapping-Wing Robotic Bird,10.1109/JSEN.2020.2981173,2.3,650,0,0,3,0,2.3,650,2.3,650,,
Flight control of a large-scale flapping-wing flying robotic bird: System development and flight experiment,10.1016/j.cja.2021.03.009,2.3,650,0,0,3,0,2.3,650,2.3,650,,
Quasi-steady aerodynamic modeling and dynamic stability of mosquito-inspired flapping wing pico aerial vehicle,10.3389/frobt.2024.1362206,0.026,0.058,0,0,3,1,0.026,0.772,0.026,-1,,
Controlled flight of a self-powered micro blimp driven by insect-sized flapping-wing thrusters,10.1016/j.cja.2024.01.030,0.035,0.124,0,0,3,1,0.035,1.021,0.035,-1,,
Aeromechanic models for flapping-wing robots with passive hinges in the presence of frontal winds,10.1109/ACCESS.2018.2868066,0.076,0.903,0,0,3,1,0.076,2.375,0.076,-1,,
Effect of flapping kinematics on the mean lift of an insect-like flapping wing,10.1177/0954410011401705,0.15,5.159,0,0,3,1,0.15,5.14,0.15,-1,,
Hovering of Bi-Directional Motor Driven Flapping Wing Micro Aerial Vehicle Based on Deep Reinforcement Learning,10.3390/drones8090508,0.2,10.788,0,2,3,1,0.2,6.47,0.2,10.788,,
"A Compact Autonomous Flapping-Wing Aerial Vehicle: Design, Modeling, and Vision-Based Control for Narrow Gap Traversal",10.1109/TII.2025.3628640,0.6,180.435,0,1,3,1,0.6,22.144,0.6,180.435,,
Lift enhancement of a butterfly-like flapping wing vehicle by reinforcement learning algorithm,10.1088/1748-3190/acd3cc,0.81,389.503,0,2,3,1,0.81,28.029,0.81,389.503,,
Design and implementation of a bio-inspired flapping-wing aircraft jumping mechanism for autonomous take-off,10.1088/2631-8695/adf0c6,1.2,1067.071,0,0,3,1,1.2,45.294,1.2,-1,,
"Closed-loop nonlinear optimal control design for flapping-wing flying robot (1.6 m wingspan) in indoor confined space: Prototyping, modeling, simulation, and experiment",10.1016/j.isatra.2023.08.001,1.6,2231.254,0,0,3,1,1.6,58.491,1.6,-1,,
Gimbal-Free Online Full-Frame Costabilization of Long and Short Focus Binocular Vision for Bionic Flapping Wing Robots,10.1109/TIE.2025.3585019,1.8,3017.931,0,0,3,1,1.8,70.89,1.8,-1,,
Real-Time Digital Video Stabilization Based on IMU Data Fusion and Periodic Jitters of Airborne Vision of Bionic Flapping Wing Robots,10.1109/TIM.2025.3552460,1.8,3017.931,0,0,3,1,1.8,70.944,1.8,-1,,
Autonomous flight control with different strategies applied during the complete flight cycle for flapping-wing flying robots,10.1007/s11431-022-2452-6,2.3,5658.114,0,0,3,1,2.3,93.04,2.3,-1,,
Design and fabrication of ultralight high-voltage power circuits for flapping-wing robotic insects,10.1109/APEC.2011.5744882,0.017,0.02,0,0,3,2,0.043,0.02,-1,0.02,,
Electrostatic flapping wings with pivot-spar brackets for high lift force,10.1109/MEMSYS.2016.7421835,0.051,0.33,0,0,3,2,0.097,0.33,-1,0.33,,
A dual-stage low-power converter driving for piezoelectric actuator applied in flapping-wing micro aerial vehicles,10.1177/1729881419851710,0.052,0.345,0,0,3,2,0.096,0.345,-1,0.345,,
Yaw Control of a Hovering Flapping-Wing Aerial Vehicle with a Passive Wing Hinge,10.1109/LRA.2021.3060726,0.06,0.5,0,0,3,2,0.105,0.5,-1,0.5,,
Insect-inspired micro air vehicle with nanocomposite flapping wings and flexure joints,10.1117/12.2557471,0.065,0.61,1,0,3,2,0.117,0.61,-1,0.61,,
Moment generation of stabilizing axes for insect-inspired flapping wing flight,10.2514/6.2014-2815,0.073,0.8,0,0,3,2,0.126,0.8,-1,0.8,,
Takeoff of a 2.1 g Fully Untethered Tailless Flapping-Wing Micro Aerial Vehicle with Integrated Battery,10.1109/LRA.2023.3269319,0.106,2.1,0,0,3,2,0.165,2.1,-1,2.1,,
Development of a Bio-inspired Tailless FWMAV with High-Frequency Flapping Wings Trajectory Tracking Control,10.1007/s42235-024-00554-y,0.113,2.5,0,0,3,2,0.17,2.5,-1,2.5,,
Optical flow on a flapping wing robot,10.1109/IROS.2009.5354337,0.113,2.5,0,0,3,2,0.172,2.5,-1,2.5,,
Analysis and Testing of a Flyable Micro Flapping-Wing Rotor with a Highly Efficient Elastic Mechanism,10.3390/biomimetics9120737,0.115,2.6,0,0,3,2,0.181,2.6,-1,2.6,,
Feedback and Control of Linear Electromagnetic Actuators for Flapping Wing MAVs,10.3390/aerospace10030259,0.123,3.07,0,0,3,2,0.185,3.07,-1,3.07,,
An Ejecting System for Autonomous Takeoff of Flapping-Wing Robots,10.1109/IROS58592.2024.10802796,0.125,3.2,0,0,3,2,0.196,3.2,-1,3.2,,
Development of a 3.2g untethered flapping-wing platform for flight energetics and control experiments,10.1109/ICRA.2016.7487492,0.125,3.2,0,0,3,2,0.189,3.2,-1,3.2,,
Adaptive robust wing trajectory control and force generation of flapping wing MAV,10.1109/ICRA.2015.7140018,0.174,7.5,0,0,3,2,0.231,7.5,-1,7.5,,
Instantaneous wing kinematics tracking and force control of a high-frequency flapping wing insect MAV,10.1007/s12213-015-0085-4,0.174,7.5,0,0,3,2,0.245,7.5,-1,7.5,,
Using stereo vision to acquire the flight information of flapping-wing MAVs,,0.178,8,0,0,3,2,0.253,8,-1,8,,
Experimental system design and performance tests of a bio-inspired flapping wing micro air vehicle,10.1109/ICUS50048.2020.9274905,0.189,9.37,0,0,3,2,0.269,9.37,-1,9.37,,
Altitude control of flapping-wing MAV using vision-based navigation,10.1109/acc.2010.5531448,0.194,10,0,0,3,2,0.256,10,-1,10,,
Autopilots for ultra lightweight robotic birds: Automatic altitude control and system integration of a sub-10 g weight flapping-wing micro air vehicle,10.1109/MCS.2012.2205475,0.194,10,0,0,3,2,0.258,10,-1,10,,
Yaw dynamics identification of an insect-inspired flapping wing micro air vehicle,10.2514/6.2014-1468,0.194,10,0,0,3,2,0.253,10,-1,10,,
"Development of flapping wing Micro Air Vehicles-design, CFD, experiment and actual flight",,0.2,10.8,0,0,3,2,0.275,10.8,-1,10.8,,
A Miniature Video Stabilization System for Flapping-Wing Aerial Vehicles,10.1142/S2737480722500017,0.215,13,0,0,3,2,0.288,13,-1,13,,
Development of an autonomous flapping-wing aerial vehicle,10.1007/s11432-017-9077-1,0.222,14.1,0,0,3,2,0.299,14.1,-1,14.1,,
Experimental study on the aerodynamic optimization design of flexible wings for tailless flapping wing micro air vehicles,10.1177/17568293251348206,0.227,15,0,0,3,2,0.305,15,-1,15,,
"Towards the Long-Endurance Flight of an Insect-Inspired, Tailless, Two-Winged, Flapping-Wing Flying Robot",10.1109/LRA.2020.3005127,0.232,15.8,0,0,3,2,0.295,15.8,-1,15.8,,
An insect-inspired flapping wing micro air vehicle with double wing clap-fling effects and capability of sustained hovering,10.1117/12.2085714,0.237,16.6,0,0,3,2,0.303,16.6,-1,16.6,,
Rigid-body kinematics versus flapping kinematics of a flapping wing micro air vehicle,10.2514/1.G000923,0.239,17,0,0,3,2,0.302,17,-1,17,,
Error analysis and assessment of unsteady forces acting on a flapping wing micro air vehicle: Free flight versus wind-tunnel experimental methods,10.1088/1748-3190/10/5/056004,0.241,17.4,0,0,3,2,0.325,17.4,-1,17.4,,
Autonomous flight of a 20-gram Flapping Wing MAV with a 4-gram onboard stereo vision system,10.1109/ICRA.2014.6907589,0.254,20,0,0,3,2,0.311,20,-1,20,,
Micro-electro mechanical flapping wing technology for micro air vehicles,10.1117/12.917645,0.254,20,0,0,3,2,0.318,20,-1,20,,
Obstacle Avoidance Strategy using Onboard Stereo Vision on a Flapping Wing MAV,10.1109/TRO.2017.2683530,0.254,20,0,0,3,2,0.319,20,-1,20,,
Design of a Miniature Flapping-Wing Robot Capable of Quick and Energy-Efficient Takeoff,10.1109/ROBIO64047.2024.10907726,0.269,23,0,0,3,2,0.326,23,-1,23,,
Design and Control of Micro Flapping Wing Aircraft,,0.278,25,0,0,3,2,0.351,25,-1,25,,
Design and Control of Hoverable Bionic Flapping Wing Micro Air Vehicle,10.1109/ICEEMT52412.2021.9601914,0.287,27.24,0,0,3,2,0.344,27.24,-1,27.24,,
A Tailless Flapping Wing MAV Performing Monocular Visual Servoing Tasks,10.1142/S2301385020500235,0.298,30,0,0,3,2,0.367,30,-1,30,,
Design and Implementation of a Variable-amplitude Flight Strategy for Flapping-wing Aircraft,10.13973/j.cnki.robot.240035,0.298,30,0,0,3,2,0.379,30,-1,30,,
Experimental Study on the Wing Parameter Optimization of Flapping-Wing Aircraft Based on the Clap-and-Fling Mechanism,10.1007/s42405-022-00445-8,0.298,30,0,0,3,2,0.346,30,-1,30,,
Battle the Wind: Improving Flight Stability of a Flapping Wing Micro Air Vehicle Under Wind Disturbance With Onboard Thermistor-Based Airflow Sensing,10.1109/LRA.2022.3190609,0.303,31.3,0,0,3,2,0.372,31.3,-1,31.3,,
Bionic design and attitude control measurement in a double flapping-wing micro air vehicle,10.1007/978-3-030-27529-7_22,0.309,32.8,0,0,3,2,0.374,32.8,-1,32.8,,
Aerodynamic efficiency enhancement effect of the energy capture technique on a flyable flapping wing rotor system,10.1007/s11431-024-2792-9,0.326,37.8,0,0,3,2,0.408,37.8,-1,37.8,,
Development of flapping wing micro air vehicle,,0.333,40,0,0,3,2,0.38,40,-1,40,,
Development of flapping wing robot and vision-based obstacle avoidance strategy,10.7717/peerj-cs.1201,0.349,45,1,0,3,2,0.418,45,-1,45,,
Design of an Onboard Visionbased Obstacle Avoidance System for Flapping,,0.358,48,0,0,3,2,0.407,48,-1,48,,
Design and control of a small intelligent camera stabilizer for a flapping-wing robotic bird,10.1007/978-3-030-27535-8_33,0.369,52,0,0,3,2,0.413,52,-1,52,,
Servo-Driven Flapping-Wing Aerial Vehicle (FWAV): Payload Capacity and Navigation Performance,10.1109/SII59315.2025.10870592,0.477,100,0,0,3,2,0.521,100,-1,100,,
Take-Off Trajectory Optimization of a Pigeon-Inspired Flapping Wing Robot,10.1109/ICUS58632.2023.10318479,0.712,280,0,0,3,2,0.721,280,-1,280,,
"Design, aerodynamic analysis and test flight of a bat-inspired tailless flapping wing unmanned aerial vehicle",10.1016/j.ast.2021.106557,0.721,289,0,0,3,2,0.741,289,-1,289,,
Design of the High-Payload Flapping Wing Robot E-Flap,10.1109/LRA.2021.3061373,0.9,510,0,0,3,2,0.848,510,-1,510,,
ANALYTICAL MODELLING OF A HOVERABLE X-SHAPE FLAPPING WING AIRCRAFT CONSIDERING WING-TAIL INTERACTION,,1.072,800,0,0,3,2,1,800,-1,800,,
MODELING AND CONTROL OF A HOVERABLE FLAPPING WING AIRCRAFT CONSIDERING FLAPPING WING INDUCED FLOW,,1.256,1200,0,0,3,2,1.076,1200,-1,1200,,
